Name,Mass (solar mass),Accretion rate (g.s-1),Mdot (solarmass/year),ERD (erg.s-1.g-1) Assuming 2.3E-4 accretion efficiency,Power density (W.kg-1)
V1454 Cyg,0.75,55000000000000,8.73E-13,7.61E-03,7.61E-07
V1504 Cyg,0.67,8.5E+15,1.35E-10,1.32E+00,1.32E-04
V342 Cam,0.75,1.2E+15,1.90E-11,1.66E-01,1.66E-05
V355 UMa,0.75,5.5E+15,8.73E-11,7.61E-01,7.61E-05
V392 Hya,0.75,1.3E+17,2.06E-09,1.80E+01,1.80E-03
V426 Oph,0.9,5.5E+16,8.73E-10,6.34E+00,6.34E-04
V478 Her,0.75,2E+17,3.17E-09,2.77E+01,2.77E-03
V503 Cyg,0.73,3.35E+16,5.31E-10,4.76E+00,4.76E-04
V513 Peg,0.75,2.3E+16,3.65E-10,3.18E+00,3.18E-04
V516 Cyg,0.75,5E+17,7.93E-09,6.92E+01,6.92E-03
V521 Peg,0.75,3.5E+15,5.55E-11,4.84E-01,4.84E-05
V537 Peg,0.75,1.05E+17,1.67E-09,1.45E+01,1.45E-03
V630 Cas,1.01,7.5E+18,1.19E-07,7.71E+02,7.71E-02
V713 Cep,0.75,130000000000000,2.06E-12,1.80E-02,1.80E-06
V729 Sgr,0.75,2.05E+16,3.25E-10,2.84E+00,2.84E-04
V792 Cyg,0.75,2.55E+17,4.05E-09,3.53E+01,3.53E-03
V811 Cyg,0.75,2.1E+16,3.33E-10,2.91E+00,2.91E-04
V844 Her,0.46,1.05E+16,1.67E-10,2.37E+00,2.37E-04
V893 Sco,0.89,7.5E+15,1.19E-10,8.75E-01,8.75E-05
VW Hyi,0.67,3.1E+16,4.92E-10,4.80E+00,4.80E-04
VW Vul,0.35,1.95E+17,3.09E-09,5.78E+01,5.78E-03
VZ Pyx,0.8,1.5E+16,2.38E-10,1.95E+00,1.95E-04
WW Cet,0.83,4E+16,6.35E-10,5.00E+00,5.00E-04
WX Hyi,0.9,1.85E+16,2.94E-10,2.13E+00,2.13E-04
X Leo,1.03,5.5E+16,8.73E-10,5.54E+00,5.54E-04
YZ Cnc,0.82,4.5E+16,7.14E-10,5.70E+00,5.70E-04
Z Cam,0.99,2.4E+17,3.81E-09,2.52E+01,2.52E-03
AE Aqr,0.63,1.1E+17,1.75E-09,1.81E+01,1.81E-03
BG CMi,0.8,2E+17,3.17E-09,2.59E+01,2.59E-03
BK Lyn,0.41,6.5E+16,1.03E-09,1.65E+01,1.65E-03
FO Aqr,0.75,8.5E+17,1.35E-08,1.18E+02,1.18E-02
IX Vel,0.82,3.5E+17,5.55E-09,4.43E+01,4.43E-03
LQ Peg,0.75,1.45E+18,2.30E-08,2.01E+02,2.01E-02
MV Lyr,0.73,4.5E+17,7.14E-09,6.40E+01,6.40E-03
RR Pic,0.95,1E+19,1.59E-07,1.09E+03,1.09E-01
RW Sex,0.9,7E+17,1.11E-08,8.07E+01,8.07E-03
RW Tri,0.55,1E+18,1.59E-08,1.89E+02,1.89E-02
TT Ari,0.9,7E+17,1.11E-08,8.07E+01,8.07E-03
TV Col,0.75,7.5E+17,1.19E-08,1.04E+02,1.04E-02
TX Col,0.54,1.2E+18,1.90E-08,2.31E+02,2.31E-02
UX UMa,0.9,4E+17,6.35E-09,4.61E+01,4.61E-03
V1084 Her,0.75,4E+17,6.35E-09,5.54E+01,5.54E-03
V1223 Sgr,0.93,5.5E+17,8.73E-09,6.14E+01,6.14E-03
V3885 Sgr,0.7,1.05E+18,1.67E-08,1.56E+02,1.56E-02
V592 Cas,0.81,9.5E+17,1.51E-08,1.22E+02,1.22E-02
V603 Aql,1.2,2.4E+17,3.81E-09,2.08E+01,2.08E-03
V795 Her,0.69,4.6E+18,7.30E-08,6.92E+02,6.92E-02
AVERAGE,0.7858461538,3.61156E+17,5.73E-09,4.74E+01,4.74E-03
