name,mass_msun,mdot_g_s,mdot_msun_yr,erd_erg_s_g,power_density_reported_wkg,category
SY Cnc,0.75,1.5e+18,2.38e-08,208.0,0.0208,cataclysmic_variables
TT Crt,1.0,2.05e+16,3.25e-10,2.13,0.000213,cataclysmic_variables
TW Tri,0.75,1.15e+17,1.82e-09,15.9,0.00159,cataclysmic_variables
TW Vir,0.91,3.5e+16,5.55e-10,3.99,0.000399,cataclysmic_variables
TY PsA,0.87,1.5e+16,2.38e-10,1.79,0.000179,cataclysmic_variables
TY Psc,0.7,4e+16,6.35e-10,5.93,0.000593,cataclysmic_variables
TZ Per,0.75,7.5e+17,1.19e-08,104.0,0.0104,cataclysmic_variables
U Gem,1.17,4.5e+16,7.14e-10,3.99,0.000399,cataclysmic_variables
UY Pup,0.75,1.15e+17,1.82e-09,15.9,0.00159,cataclysmic_variables
V1159 Ori,0.72,8.5e+16,1.35e-09,12.3,0.00123,cataclysmic_variables
V1316 Cyg,0.72,2.6e+17,4.12e-09,37.5,0.00375,cataclysmic_variables
V1454 Cyg,0.75,55000000000000.0,8.73e-13,0.00761,7.61e-07,cataclysmic_variables
V1504 Cyg,0.67,8500000000000000.0,1.35e-10,1.32,0.000132,cataclysmic_variables
V342 Cam,0.75,1200000000000000.0,1.9e-11,0.166,1.66e-05,cataclysmic_variables
V355 UMa,0.75,5500000000000000.0,8.73e-11,0.761,7.61e-05,cataclysmic_variables
V392 Hya,0.75,1.3e+17,2.06e-09,18.0,0.0018,cataclysmic_variables
V426 Oph,0.9,5.5e+16,8.73e-10,6.34,0.000634,cataclysmic_variables
V478 Her,0.75,2e+17,3.17e-09,27.7,0.00277,cataclysmic_variables
V503 Cyg,0.73,3.35e+16,5.31e-10,4.76,0.000476,cataclysmic_variables
V513 Peg,0.75,2.3e+16,3.65e-10,3.18,0.000318,cataclysmic_variables
V516 Cyg,0.75,5e+17,7.93e-09,69.2,0.00692,cataclysmic_variables
V521 Peg,0.75,3500000000000000.0,5.55e-11,0.484,4.84e-05,cataclysmic_variables
V537 Peg,0.75,1.05e+17,1.67e-09,14.5,0.00145,cataclysmic_variables
V630 Cas,1.01,7.5e+18,1.19e-07,771.0,0.0771,cataclysmic_variables
V713 Cep,0.75,130000000000000.0,2.06e-12,0.018,1.8e-06,cataclysmic_variables
V729 Sgr,0.75,2.05e+16,3.25e-10,2.84,0.000284,cataclysmic_variables
V792 Cyg,0.75,2.55e+17,4.05e-09,35.3,0.00353,cataclysmic_variables
V811 Cyg,0.75,2.1e+16,3.33e-10,2.91,0.000291,cataclysmic_variables
V844 Her,0.46,1.05e+16,1.67e-10,2.37,0.000237,cataclysmic_variables
V893 Sco,0.89,7500000000000000.0,1.19e-10,0.875,8.75e-05,cataclysmic_variables
VW Hyi,0.67,3.1e+16,4.92e-10,4.8,0.00048,cataclysmic_variables
VW Vul,0.35,1.95e+17,3.09e-09,57.8,0.00578,cataclysmic_variables
VZ Pyx,0.8,1.5e+16,2.38e-10,1.95,0.000195,cataclysmic_variables
WW Cet,0.83,4e+16,6.35e-10,5.0,0.0005,cataclysmic_variables
WX Hyi,0.9,1.85e+16,2.94e-10,2.13,0.000213,cataclysmic_variables
X Leo,1.03,5.5e+16,8.73e-10,5.54,0.000554,cataclysmic_variables
YZ Cnc,0.82,4.5e+16,7.14e-10,5.7,0.00057,cataclysmic_variables
Z Cam,0.99,2.4e+17,3.81e-09,25.2,0.00252,cataclysmic_variables
AE Aqr,0.63,1.1e+17,1.75e-09,18.1,0.00181,cataclysmic_variables
BG CMi,0.8,2e+17,3.17e-09,25.9,0.00259,cataclysmic_variables
BK Lyn,0.41,6.5e+16,1.03e-09,16.5,0.00165,cataclysmic_variables
FO Aqr,0.75,8.5e+17,1.35e-08,118.0,0.0118,cataclysmic_variables
IX Vel,0.82,3.5e+17,5.55e-09,44.3,0.00443,cataclysmic_variables
LQ Peg,0.75,1.45e+18,2.3e-08,201.0,0.0201,cataclysmic_variables
MV Lyr,0.73,4.5e+17,7.14e-09,64.0,0.0064,cataclysmic_variables
RR Pic,0.95,1e+19,1.59e-07,1090.0,0.109,cataclysmic_variables
RW Sex,0.9,7e+17,1.11e-08,80.7,0.00807,cataclysmic_variables
RW Tri,0.55,1e+18,1.59e-08,189.0,0.0189,cataclysmic_variables
TT Ari,0.9,7e+17,1.11e-08,80.7,0.00807,cataclysmic_variables
TV Col,0.75,7.5e+17,1.19e-08,104.0,0.0104,cataclysmic_variables
TX Col,0.54,1.2e+18,1.9e-08,231.0,0.0231,cataclysmic_variables
UX UMa,0.9,4e+17,6.35e-09,46.1,0.00461,cataclysmic_variables
V1084 Her,0.75,4e+17,6.35e-09,55.4,0.00554,cataclysmic_variables
V1223 Sgr,0.93,5.5e+17,8.73e-09,61.4,0.00614,cataclysmic_variables
V3885 Sgr,0.7,1.05e+18,1.67e-08,156.0,0.0156,cataclysmic_variables
V592 Cas,0.81,9.5e+17,1.51e-08,122.0,0.0122,cataclysmic_variables
V603 Aql,1.2,2.4e+17,3.81e-09,20.8,0.00208,cataclysmic_variables
V795 Her,0.69,4.6e+18,7.3e-08,692.0,0.0692,cataclysmic_variables
4U 0513-40,1.4,,2.379e-10,483.0,,neutron_stars
EXO 0748-676,1.4,,1.00003e-10,203.0,,neutron_stars
4U 0919-54,1.4,,4.3225e-11,87.8,,neutron_stars
4U 1608-52,1.4,,2.38194e-10,484.0,,neutron_stars
4U 1636-536,1.4,,4.9205e-10,1000.0,,neutron_stars
MXB 1659-298,1.4,,5.0024e-10,1020.0,,neutron_stars
4U 1702-429,1.4,,2.60691e-10,530.0,,neutron_stars
4U 1705-44,1.4,,5.64698e-10,1150.0,,neutron_stars
XTE J1710-28,1.4,,1.05661e-10,215.0,,neutron_stars
4U 1724-307,1.4,,3.51e-10,713.0,,neutron_stars
4U 1728-34,1.4,,5.55157e-10,1130.0,,neutron_stars
KS 1731-260,1.4,,6.88037e-10,1400.0,,neutron_stars
4U 1735-44,1.4,,1.42882e-09,2900.0,,neutron_stars
"SAX J1747,0-",1.4,,5.915e-10,1200.0,,neutron_stars
GX 3+1,1.4,,1.846e-09,3750.0,,neutron_stars
"SAX J1748,9-",1.4,,1.40156e-09,2850.0,,neutron_stars
EXO 1745-248,1.4,,7.01527e-10,1430.0,,neutron_stars
4U 1746-37,1.4,,2.03927e-09,4140.0,,neutron_stars
"SAX J1750,8-",1.4,,5.44375e-10,1110.0,,neutron_stars
GRS 1747-312,1.4,,3.23143e-10,656.0,,neutron_stars
"SAX J1808,4-",1.4,,1.43e-10,291.0,,neutron_stars
GX 17+2,1.4,,1.53183e-08,31100.0,,neutron_stars
3A 1820-303,1.4,,7.9768e-10,1620.0,,neutron_stars
XB 1832-330,1.4,,1.105e-10,224.0,,neutron_stars
Ser X-1,1.4,,3.08286e-09,6260.0,,neutron_stars
"HETE J1900,1",1.4,,9.425e-11,191.0,,neutron_stars
Aql X-1,1.4,,3.58389e-10,728.0,,neutron_stars
4U 1916-053,1.4,,1.89614e-10,385.0,,neutron_stars
4U 2129+12,1.4,,9.62e-11,195.0,,neutron_stars
Cyg X-2,1.4,,1.40731e-08,28600.0,,neutron_stars
GRO J0422+32,3.97,,2.67e-11,19.1,,transient_black_holes
A620-00,11.0,,5.43e-11,14.0,,transient_black_holes
GRS 1009-45,3.9,,2.63e-10,192.0,,transient_black_holes
XTE J1118+480,8.53,,2e-10,66.7,,transient_black_holes
GS 1124684,7.5,,3.33e-10,126.0,,transient_black_holes
GS 135464,5.75,,1.63e-09,808.0,,transient_black_holes
4U 154347,9.4,,1.13e-09,341.0,,transient_black_holes
XTE J1550564,10.5,,1.59e-09,430.0,,transient_black_holes
XTE J1650500,2.73,,1.09e-10,114.0,,transient_black_holes
GRO J165540,6.3,,8.73e-10,394.0,,transient_black_holes
MAXI J1659352,5.8,,1.41e-10,69.2,,transient_black_holes
GX 3394,5.3,,1.27e-08,6810.0,,transient_black_holes
4U 1705250,4.73,,2.92e-10,176.0,,transient_black_holes
GRS 1915+105,14.0,,1.55e-07,31600.0,,transient_black_holes
GS 2000+25,9.6,,6.54e-11,19.400000000000002,,transient_black_holes
V404 Cyg,12.0,,9.36e-10,222.0,,transient_black_holes
Cyg X-1,14.8,,1.41e-08,2710.0,,transient_black_holes
LMC X-1,10.91,,6.58e-08,17200.0,,transient_black_holes
LMC X-3,11.1,,6.65e-08,17000.0,,transient_black_holes
