source mass_msun mass_spotless_msun teff_k lstar_lsun log_macc log_lacc radius_au dist_pc reference
J16095628-3859518 0.06631934426229509 0.057 2990 0.02 -10.7 -4.31 15.707 157.07 Alcala+14,17,19
J16101857-3836125 0.11169573770491804 0.096 3125 0.04 -10.49 -4.0  160.6 Alcala+14,17,19
J16101984-3836065 0.07097333333333333 0.061 2935 0.04 -10.35 -4.1 106.3692 158.76 Alcala+14,17,19
J16102955-3922144 0.17801508196721313 0.153 3200 0.106 -9.923 -3.38 30.4836 160.44 Alcala+14,17,19
Sz123B 0.4502734426229509 0.387 3560 0.029 -10.23 -2.9  158.5 Alcala+14,17,19
Sz123A 0.6480679781420766 0.557 3705 0.136 -9.177 -2.0  162.19 Alcala+14,17,19
J16124373-3815031 0.5468437158469945 0.47 3705 0.39 -9.084 -2.19 11.1895 159.85 Alcala+14,17,19
J16134410-3736462 0.11169573770491804 0.096 3125 0.039 -9.012 -2.49 117.327 158.55 Alcala+14,17,19
AKC2006-18 0.051193879781420766 0.044 2935 0.01 -10.99 -4.6 0.0 151.87 Alcala+14,17,19
J154518.5-342125 0.0721368306010929 0.062 2935 0.04 -10.54 -4.29 0.0 153.02 Alcala+14,17,19
Lup706 0.0500303825136612 0.043 2795 0.002 -11.63 -5.0 0.0 170.7 Alcala+14,17,19
SONYC-Lup3-7 0.026760437158469947 0.023 2600 0.01 -10.88 -4.85 0.0 155.85 Alcala+14,17,19
J10555973-7724399 0.9110183606557378 0.783 4060 0.236 -8.42 -1.12 20.1828 183.48 Manara+16,17
J10563044-7711393 0.8156115846994536 0.701 4060 0.548 -9.18 -2.12 139.1621 180.73 Manara+16,17
J10580597-7711501 0.08144480874316942 0.07 3060 0.019 -11.45 -4.94 20.5854 187.14 Manara+16,17
J10581677-7717170 1.6277326775956287 1.399 4900 1.649 -7.55 -0.33 118.42 190.0 Manara+16,17
J10590108-7722407 0.8342275409836066 0.717 4060 0.497 -8.62 -1.53 42.1176 183.12 Manara+16,17
J11004022-7619280 0.22222797814207654 0.191 3270 0.145 -8.869 -2.29 48.2525 193.01 Manara+16,17
J11022491-7733357 1.6277326775956287 1.399 4900 2.045 -8.0 -0.89 47.75 190.0 Manara+16,17
J11023265-7729129 0.3350872131147541 0.288 3415 0.367 -10.28 -3.64 80.22 190.0 Manara+16,17
J11025504-7721508 0.20244852459016394 0.174 3200 0.199 -8.449 -2.01 42.366 184.2 Manara+16,17
J11040425-7639328 0.15939912568306014 0.137 3200 0.038 -10.44 -3.75 17.5014 194.46 Manara+16,17
J11040909-7627193 0.9214898360655739 0.792 4350 2.114 -6.27 0.53 34.191 189.95 Manara+16,17
J11044258-7741571 0.22455497267759567 0.193 3270 0.127 -10.25 -3.63 26.7078 190.77 Manara+16,17
J11045701-7715569 0.33159672131147544 0.285 3415 0.41 -7.535 -0.94 23.2308 193.59 Manara+16,17
J11062554-7633418 0.09191628415300547 0.079 3060 0.044 -10.27 -3.86 32.2608 201.63 Manara+16,17
J11063276-7625210 0.05584786885245902 0.048 2935 0.022 -10.63 -4.35  189.19 Manara+16,17
J11064180-7635489 0.13147519125683063 0.113 3125 0.073 -8.841 -2.39  194.69 Manara+16,17
J11064510-7727023 0.9017103825136613 0.775 4205 0.714 -8.4 -1.36 37.162 185.81 Manara+16,17
J11065939-7530559 0.07679081967213117 0.066 3060 0.014 -10.64 -4.08 23.094 192.45 Manara+16,17
J11071181-7625501 0.07795431693989073 0.067 3060 0.016 -11.32 -4.79  199.91 Manara+16,17
J11071206-7632232 0.6783189071038251 0.583 3850 0.587 -8.249 -1.3 42.6514 193.87 Manara+16,17
J11071330-7743498 0.2268819672131148 0.195 3270 0.098 -10.59 -3.99 21.01 190.0 Manara+16,17
J11071860-7732516 0.08842579234972678 0.076 3060 0.038 -10.4 -4.0 29.628 197.52 Manara+16,17
J11072825-7652118 0.33159672131147544 0.285 3415 0.479 -8.127 -1.57  190.0 Manara+16,17
J11074245-7733593 0.1035512568306011 0.089 3060 0.056 -9.625 -3.24  190.0 Manara+16,17
J11074366-7739411 0.5386992349726777 0.463 3705 0.424 -7.691 -0.8 32.3408 190.24 Manara+16,17
J11074656-7615174 0.05235737704918033 0.045 2935 0.009 -11.57 -5.13 17.3376 192.64 Manara+16,17
J11075792-7738449 1.033185573770492 0.888 4350 0.719 -7.99 -1.01  190.0 Manara+16,17
J11075809-7742413 0.3385777049180328 0.291 3415 0.22 -8.092 -1.37 15.0016 187.52 Manara+16,17
J11080002-7717304 0.7341667759562842 0.631 4060 1.371 -9.85 -3.08 24.83 190.0 Manara+16,17
J11080297-7738425 0.6189805464480875 0.532 3705 0.168 -8.99 -1.86  190.0 Manara+16,17
J11081850-7730408 0.05235737704918033 0.045 2935 0.013 -11.4 -5.04  186.7 Manara+16,17
J11082238-7730277 0.08958928961748634 0.077 3060 0.042 -9.619 -3.22  190.11 Manara+16,17
J11082650-7715550 0.08144480874316942 0.07 3060 0.021 -10.67 -4.16  195.78 Manara+16,17
J11083905-7716042 0.841208524590164 0.723 4060 0.464 -8.59 -1.49 17.082 189.8 Manara+16,17
J11085090-7625135 0.0907527868852459 0.078 3060 0.043 -10.27 -3.89  192.24 Manara+16,17
J11085367-7521359 0.5782581420765028 0.497 3705 0.269 -7.909 -0.92 28.5765 190.51 Manara+16,17
J11085464-7702129 0.7097333333333334 0.61 3780 0.183 -9.064 -1.89 24.83 190.0 Manara+16,17
J11085497-7632410 0.08958928961748634 0.077 3060 0.039 -10.18 -3.78  193.42 Manara+16,17
J11091812-7630292 0.7597637158469946 0.653 3850 0.329 -8.904 -1.77  183.64 Manara+16,17
J11092266-7634320 0.6783189071038251 0.583 3705 0.109 -9.299 -1.99  193.09 Manara+16,17
