name,mass_msun_somers,mass_spotless_msun,teff_k,lstar_lsun,log_macc,log_lacc,radius_au,dist_pc,reference,category,mass_calibration,spot_coverage_fraction,mass_msun,mass_kg,lacc_w,power_density_w_per_kg
Sz88B,0.1698706010928961,0.146,3197,0.069,-9.904,-3.3,158.37,,,young_stellar_objects,somers_2020_spots,0.17,0.1698706010928961,3.377825941551911e+29,1.9185447303251992e+23,5.679821173508252e-07
Sz90,0.8540069945355192,0.734,4060,0.419,-8.93,-1.79,16.037,160.37,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.8540069945355192,1.6981672884240438e+30,6.208289052689984e+24,3.6558760111622952e-06
Sz91,0.6050185792349728,0.52,3705,0.2,-9.081,-2.0,159.39,,,young_stellar_objects,somers_2020_spots,0.17,0.6050185792349728,1.2030612942513664e+30,3.828e+24,3.181882767147009e-06
J16073773-3921388,0.0779543169398907,0.067,3057,0.017,-10.19,-3.62,81.225,162.45,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0779543169398907,1.5500982060546447e+29,9.182732414006608e+22,5.923968157719998e-07
Sz95,0.3385777049180328,0.291,3415,0.267,-9.381,-2.7,20.8611,160.47,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.3385777049180328,6.732516088983607e+29,7.637864141700869e+23,1.1344739530884567e-06
J16080017-3902595,0.0895892896174863,0.077,3057,0.04,-10.27,-3.89,45.1164,161.13,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0895892896174863,1.7814561472568298e+29,4.931419283881316e+22,2.768195720941516e-07
Sz96,0.5386992349726777,0.463,3705,0.416,-9.387,-2.51,20.2761,155.98,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.5386992349726777,1.0711872677661204e+30,1.182965091566203e+24,1.1043494701287728e-06
J16081497-3857145,0.0756273224043716,0.065,3060,0.009,-10.28,-3.6,16.5913,150.83,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0756273224043716,1.503826617814208e+29,9.61550125981867e+22,6.394022519560581e-07
Sz97,0.2268819672131148,0.195,3270,0.109,-9.769,-3.11,14.1606,157.34,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.2268819672131148,4.5114798534426234e+29,2.9714739624546327e+23,6.58647286252904e-07
Sz98,0.7434747540983607,0.639,4060,1.53,-7.44,-0.71,128.1414,156.27,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.7434747540983607,1.4783772442819673e+30,7.4640051278737985e+25,5.048782478723142e-05
Sz99,0.2140834972677595,0.184,3270,0.049,-9.607,-2.8,158.29,,,young_stellar_objects,somers_2020_spots,0.17,0.2140834972677595,4.256986118120217e+29,6.066971140741145e+23,1.4251799212867e-06
