sub_realm,group,system,mass_kg,er_w,power_density_w_per_kg,comments,reference,segment,color,data_source
ii) eukaryotes,tree seedlings: greenhouse,Populus tremuloides,5e-05,0.000175,3.51,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,,0.05,0.0989,1.98,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",Betula papyrifera,5e-05,0.000269,5.37,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",,0.1,0.219,2.19,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",Larix laricina,5e-05,0.000154,3.07,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",,0.1,0.176,1.76,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",Picea marina,5e-05,0.000107,2.15,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",,0.1,0.167,1.67,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",Pinus banksiana,5e-05,0.000106,2.12,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",,0.1,0.197,1.97,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",Populus tremuloides,5e-05,0.000383,7.66,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,"tree seedlings, growth chamber",,0.1,0.375,3.75,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,vascular plants: seedlings: darkness,lower,3e-05,3.43e-05,1.14,lower wet body mass; lower respiration rate in darkness calculated from specific  respiration rate in darkness via fitted equation times wet body mass as ERin,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,vascular plants: seedlings: darkness,upper,0.07,0.128,1.82,upper wet body mass; upper respiration rate in darkness calculated from specific  respiration rate in darkness  via fitted equation times wet body mass as ERin,    ,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,vascular plants: tree saplings: darkness,lower,0.0007,0.00855,12.2,idem,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,vascular plants: tree saplings: darkness,upper,2.0,28.6,14.3,idem,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,above-ground plants/trees in darkness,lower,3.46e-06,3.32e-06,0.958,"lower mass read from Figure 2; lower respiration rate in micromol/s read from Figure 2 converted to ERin with 0,534 J/micromol CO2","S. Mori et al., “Mixed-power scaling of whole-plant respiration from seedlings to giant trees”, Proc. Natl. Acad. Sci. U.S.A.,  107 (2010) 1447.",Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,above-ground plants/trees in darkness,upper,4310.0,160.0,0.0371,"upper mass read from Figure 2; upper respiration rate in micromol/s read from Figure 2 converted to ERin with 0,534 J/micromol CO3",     ,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,whole plants/trees in darkness,lower,1e-05,6.41e-06,0.641,"lower mass read from Figure 2; lower respiration rate in micromol/s read from Figure 2 converted to ERin with 0,534 J/micromol CO2","S. Mori et al., “Mixed-power scaling of whole-plant respiration from seedlings to giant trees”, Proc. Natl. Acad. Sci. U.S.A.,  107 (2010) 1447.",Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,whole plants/trees in darkness,upper,5180.0,199.0,0.0384,"upper mass read from Figure 2; upper respiration rate in micromol/s read from Figure 2 converted to ERin with 0,534 J/micromol CO3",     ,Multicellular,#588B5C,van Duin (2024)
