name,category,track,mass_kg,mass_msun,mdot_kg_s,radius_m,eta,luminosity_w,power_density_w_per_kg,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,dubus_table
BX Pup,cataclysmic_variables,nuclear,1.4913525e+30,0.75,90000000000000.0,8422886.219205303,0.007,5.662157626041951e+28,0.03796659492669876,computed_from_mdot,2.982705e+29,0.010546276368527431,0.07909707276395575,A2
BZ UMa,cataclysmic_variables,gravitational,1.5112372e+30,0.76,3600000000000.0,8385780.512442379,,7.435287023999999e+25,4.9199999999999997e-05,tabulated_erd,,,,
BZ UMa,cataclysmic_variables,nuclear,1.5112372e+30,0.76,3600000000000.0,8385780.512442379,0.007,2.2648630504167804e+27,0.0014986813786854775,computed_from_mdot,2.982705e+29,0.000834430657729643,0.002489612782078607,A2
CH UMa,cataclysmic_variables,gravitational,2.5054722e+30,1.26,10000000000000.0,7085293.419179054,,2.0645090927999997e+26,8.24e-05,tabulated_erd,,,,
CH UMa,cataclysmic_variables,nuclear,2.5054722e+30,1.26,10000000000000.0,7085293.419179054,0.007,6.291286251157723e+27,0.002511018182982722,computed_from_mdot,3.579246e+29,0.0017577127280879058,0.003515425456175811,A2
CN Ori,cataclysmic_variables,gravitational,1.4714678e+30,0.74,1000000000000000.0,8460657.514660807,,2.06005492e+28,0.014,tabulated_erd,,,,
CN Ori,cataclysmic_variables,nuclear,1.4714678e+30,0.74,1000000000000000.0,8460657.514660807,0.007,6.291286251157723e+29,0.42755174467003104,computed_from_mdot,1.98847e+29,0.18832636372370418,0.7415350571620851,A2
CW Mon,cataclysmic_variables,gravitational,1.4913525e+30,0.75,40000000000000.0,8422886.219205303,,8.26209285e+26,0.000554,tabulated_erd,,,,
CW Mon,cataclysmic_variables,nuclear,1.4913525e+30,0.75,40000000000000.0,8422886.219205303,0.007,2.516514500463089e+28,0.016874042189643893,computed_from_mdot,2.982705e+29,0.007030850912351621,0.0316388291055823,A2
CY Lyr,cataclysmic_variables,gravitational,1.4913525e+30,0.75,170000000000000.0,8422886.219205303,,3.504678375e+27,0.00235,tabulated_erd,,,,
CY Lyr,cataclysmic_variables,nuclear,1.4913525e+30,0.75,170000000000000.0,8422886.219205303,0.007,1.0695186626968129e+29,0.07171467930598655,computed_from_mdot,2.982705e+29,0.03515425456175811,0.1265553164223292,A2
CY UMa,cataclysmic_variables,gravitational,1.3720443e+30,0.69,10500000000000.0,8660274.50875726,,2.1678299940000003e+26,0.00015800000000000002,tabulated_erd,,,,
CY UMa,cataclysmic_variables,nuclear,1.3720443e+30,0.69,10500000000000.0,8660274.50875726,0.007,6.605850563715609e+27,0.00481460442911035,computed_from_mdot,2.7838580000000004e+29,0.0026683349848081453,0.008053520135966403,A2
CZ Ori,cataclysmic_variables,gravitational,1.0936585000000001e+30,0.55,230000000000000.0,9340292.110797748,,4.7464778900000003e+27,0.00434,tabulated_erd,,,,
CZ Ori,cataclysmic_variables,nuclear,1.0936585000000001e+30,0.55,230000000000000.0,9340292.110797748,0.007,1.4469958377662764e+29,0.13230783080516234,computed_from_mdot,2.187317e+29,0.08149395375680288,0.20852864637770152,A2
DI UMa,cataclysmic_variables,gravitational,1.4913525e+30,0.75,22000000000000.0,8422886.219205303,,4.5337115999999997e+26,0.00030399999999999996,tabulated_erd,,,,
DI UMa,cataclysmic_variables,nuclear,1.4913525e+30,0.75,22000000000000.0,8422886.219205303,0.007,1.3840829752546991e+28,0.00928072320430414,computed_from_mdot,2.982705e+29,0.002812340364940649,0.01898329746334938,A2
DO Dra,cataclysmic_variables,gravitational,1.6504300999999998e+30,0.83,2100000000000.0,8143079.180132048,,4.340631163e+25,2.63e-05,tabulated_erd,,,,
DO Dra,cataclysmic_variables,nuclear,1.6504300999999998e+30,0.83,2100000000000.0,8143079.180132048,0.007,1.3211701127431218e+27,0.0008005004954424437,computed_from_mdot,1.98847e+29,0.0006123644343015929,0.0010401806829232535,A2
DX And,cataclysmic_variables,gravitational,1.4913525e+30,0.75,130000000000000.0,8422886.219205303,,2.6844345e+27,0.0018,tabulated_erd,,,,
DX And,cataclysmic_variables,nuclear,1.4913525e+30,0.75,130000000000000.0,8422886.219205303,0.007,8.17867212650504e+28,0.05484063711634265,computed_from_mdot,1.3919290000000002e+29,0.034725544140273255,0.07909707276395574,A2
EI Psc,cataclysmic_variables,gravitational,1.2925055e+30,0.65,500000000000.0,8834396.822789857,,1.031419389e+25,7.98e-06,tabulated_erd,,,,
EI Psc,cataclysmic_variables,nuclear,1.2925055e+30,0.65,500000000000.0,8834396.822789857,0.007,3.145643125578862e+26,0.00024337560850447922,computed_from_mdot,2.187317e+29,0.00016652015318727528,0.00035154254561758105,A2
EM Cyg,cataclysmic_variables,gravitational,1.98847e+30,1.0,1050000000000000.0,7652700.0,,2.1674322999999996e+28,0.010899999999999998,tabulated_erd,,,,
