name,domain,segment,mass_kg,power_density_w_per_kg,luminosity_w,mdot_kg_s,mass_msun,radius_m,eta,track,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,reference,data_source
cerebellar cortex,biology,Multicellular,0.146,14.6,2.13,,,,,,tabulated_erd,,,,"W.D. Heiss et al., ""Regional kinetic Constants and Cerebral Metabolic Rate for Glucose in Normal Human Volunteers Determined by Dynamic Positron Emission Tomography of [1Sp]-2-Pluoro-2-deoxy-n-glucose"", J. Cereb. Blood Flow Metab. 4 (1984) 212",van Duin (2024)
mid brain,biology,Multicellular,0.014,13.3,0.186,,,,,,tabulated_erd,,,,,van Duin (2024)
oval center,biology,Multicellular,0.064,8.93,0.571,,,,,,tabulated_erd,,,,,van Duin (2024)
frontolateral cortex,biology,Multicellular,0.299,21.0,6.27,,,,,,tabulated_erd,,,,,van Duin (2024)
temporal cortex,biology,Multicellular,0.208,17.5,3.65,,,,,,tabulated_erd,,,,,van Duin (2024)
parietal cortex,biology,Multicellular,0.208,19.0,3.95,,,,,,tabulated_erd,,,,,van Duin (2024)
occipital cortex,biology,Multicellular,0.194,16.8,3.27,,,,,,tabulated_erd,,,,,van Duin (2024)
study A,biology,Multicellular,0.8,14.5,11.6,,,,,,tabulated_erd,,,,Modeling the energetic cost of cancer as a result of altered energy metabolism,van Duin (2024)
study B: average of range,biology,Multicellular,0.8,21.1,16.9,,,,,,tabulated_erd,,,,,van Duin (2024)
lower value of range,biology,Multicellular,0.8,9.2,7.36,,,,,,tabulated_erd,,,,,van Duin (2024)
upper value,biology,Multicellular,0.8,22.8,18.2,,,,,,tabulated_erd,,,,,van Duin (2024)
nan,biology,Prokaryotes,0.9,8.13,7.32,,,,,,tabulated_erd,,,,"R.A. Riedl et al., ""Gut Microbiota Represent a Major Thermogenic Biomass"", Function 2 (2021) zqab019",van Duin (2024)
nan,biology,Prokaryotes,1.8,8.0,14.4,,,,,,tabulated_erd,,,,"R.A. Riedl et al., ""The Gut Microbiome, Energy Homeostasis, and Implications for Hypertension"", Curr. Hypertens. Rep. 19 (2017) 27",van Duin (2024)
human neuron (= nerve cell),biology,Multicellular,1e-11,25.7,2.57e-10,,,,,,tabulated_erd,,,,"S. Herculano-Houzei, ""Scaling of Brain Metabolism with a Fixed Energy Budget per Neuron: Implications for Neuronal Activity, Plasticity and Evolution"",  PLoS One, 6 (2011) e17514",van Duin (2024)
tumor cell,biology,Multicellular,3e-12,10.0,3e-11,,,,,,tabulated_erd,,,,"H. Narayanan et al., “In silico estimates of the free energy rates in growing tumor spheroids”, J. Phys. Condens. Matter, 22 (2010) 194122.",van Duin (2024)
in vitro mammalian cell,biology,Multicellular,3e-12,20.0,6e-11,,,,,,tabulated_erd,,,,"G.B. West et al., “Allometric scaling of metabolic rate from molecules and mitochondria to cells and mammals”, Proc. Natl. Acad. Sci. U.S.A., 99 (2002) 2473. ",van Duin (2024)
average human cell,biology,Multicellular,1e-12,1.0,1e-12,,,,,,tabulated_erd,,,,https://en.wikipedia.org/wiki/Orders_of_magnitude_(power),van Duin (2024)
nan,biology,Multicellular,4e-17,309.0,1.24e-14,,,,,,tabulated_erd,,,,idem,van Duin (2024)
nan,biology,Multicellular,1.0000000000000001e-21,1170.0,1.17e-18,,,,,,tabulated_erd,,,,,van Duin (2024)
nan,biology,Multicellular,3.32e-22,1730.0,5.76e-19,,,,,,tabulated_erd,,,,,van Duin (2024)
power output,biology,Multicellular,1.83e-20,17500.0,3.2e-16,,,,,,tabulated_erd,,,,"1) Bacterial flagellar motor; 2) “Motors for use in molecular nanotechnology”, PhD thesis by Martin Klok ",van Duin (2024)
power input,biology,Multicellular,1.83e-20,15900.0,2.9e-16,,,,,,tabulated_erd,,,,,van Duin (2024)
maximum power output,biology,Multicellular,9.96e-22,100000.0,1e-16,,,,,,tabulated_erd,,,,"1) Understanding structure, function, and mutations in the mitochondrial ATP synthase; 2) “Motors for use in molecular nanotechnology”, PhD thesis by Martin Klok ",van Duin (2024)
fundamental limit of power output,biology,Multicellular,9.96e-22,10000.0,1e-17,,,,,,tabulated_erd,,,,,van Duin (2024)
Sz65,young_stellar_objects,,1.5292759913464482e+30,6.737302676386626e-07,1.0303195229432236e+24,,0.7690716939890712,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz66,young_stellar_objects,,6.732516088983607e+29,9.880855068935887e-06,6.652301572452609e+24,,0.3385777049180328,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J15445789-3423392,young_stellar_objects,,2.012814088459015e+29,1.581860805743191e-07,3.183991715781024e+22,,0.1012242622950819,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J15450887-3417333,young_stellar_objects,,2.1284930590601078e+29,3.054215598191422e-05,6.500876701623557e+24,,0.1070417486338797,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz69,young_stellar_objects,,3.470369118032786e+29,1.8732522335574046e-06,6.500876701623557e+23,,0.1745245901639344,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz71,young_stellar_objects,,9.578218765770491e+29,2.702011400125208e-06,2.5880456298005067e+24,,0.481687868852459,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz72,young_stellar_objects,,8.65278700096175e+29,7.51304371747622e-06,6.500876701623557e+24,,0.4351479781420765,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz73,young_stellar_objects,,1.6935401296000002e+30,2.478428743124902e-05,4.197318534836112e+25,,0.8516800000000001,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
