name,domain,segment,mass_kg,power_density_w_per_kg,luminosity_w,mdot_kg_s,mass_msun,radius_m,eta,track,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,reference,data_source
J11071206-7632232,young_stellar_objects,,1.348816797208743e+30,1.4223908942233345e-05,1.918544730325198e+25,,0.6783189071038251,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11071330-7743498,young_stellar_objects,,4.5114798534426234e+29,8.682662234347807e-08,3.917165574450725e+22,,0.2268819672131148,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11071860-7732516,young_stellar_objects,,1.7583203531366102e+29,2.1770776827847988e-07,3.828000000000001e+22,,0.0884257923497267,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11072825-7652118,young_stellar_objects,,6.593701324262294e+29,1.5625814277514242e-05,1.0303195229432232e+25,,0.3315967213114754,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11074245-7733593,young_stellar_objects,,2.0590856766994537e+29,1.069787481430845e-06,2.2027840801266357e+23,,0.1035512568306011,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11074366-7739411,young_stellar_objects,,1.0711872677661204e+30,5.663781976603726e-05,6.066971140741142e+25,,0.5386992349726777,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11074656-7615174,young_stellar_objects,,1.0411107354098356e+29,2.7256808590902028e-08,2.8377356036999133e+21,,0.0523573770491803,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11075792-7738449,young_stellar_objects,,2.05445851787541e+30,1.820851601173922e-05,3.7408640818188433e+25,,1.033185573770492,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11075809-7742413,young_stellar_objects,,6.732516088983607e+29,2.4254623032308547e-05,1.6329463979724964e+25,,0.3385777049180328,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11080002-7717304,young_stellar_objects,,1.4598686089857925e+30,2.181012521389184e-07,3.183991715781024e+23,,0.7341667759562842,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11080297-7738425,young_stellar_objects,,1.2308242471956286e+30,4.293148251620346e-06,5.284110964899842e+24,,0.6189805464480875,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11081850-7730408,young_stellar_objects,,1.0411107354098356e+29,3.3533200401397384e-08,3.491177493054422e+21,,0.0523573770491803,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11082238-7730277,young_stellar_objects,,1.7814561472568298e+29,1.2947824166451973e-06,2.3065980954926405e+23,,0.0895892896174863,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11082650-7715550,young_stellar_objects,,1.6195055884153006e+29,1.6352700327938354e-07,2.6483289566776882e+22,,0.0814448087431694,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11083905-7716042,young_stellar_objects,,1.6727179148918034e+30,7.405411920914e-06,1.238716518726617e+25,,0.841208524590164,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11085090-7625135,young_stellar_objects,,1.8045919413770494e+29,2.7327060322114953e-07,4.931419283881316e+22,,0.0907527868852459,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11085367-7521359,young_stellar_objects,,1.1498489677748635e+30,4.002498053828374e-05,4.6022682557154565e+25,,0.5782581420765028,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11085464-7702129,young_stellar_objects,,1.4112834413333334e+30,3.4942798444671593e-06,4.931419283881318e+24,,0.7097333333333334,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11085497-7632410,young_stellar_objects,,1.7814561472568298e+29,3.5661268965017627e-07,6.3528986816709856e+22,,0.0895892896174863,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11091812-7630292,young_stellar_objects,,1.5107673560502734e+30,4.303029632980254e-06,6.500876701623557e+24,,0.7597637158469946,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11092266-7634320,young_stellar_objects,,1.348816797208743e+30,2.9041494608882052e-06,3.917165574450727e+24,,0.6783189071038251,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11092379-7623207,young_stellar_objects,,1.1475353883628416e+30,0.00015966357220800008,1.8321959934110596e+26,,0.5770946448087432,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11094621-7634463,young_stellar_objects,,7.588540471431694e+29,2.7721305210751595e-06,2.1036424651269878e+24,,0.3816271038251366,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11094742-7726290,young_stellar_objects,,1.288663732496175e+30,5.044664901860154e-06,6.500876701623557e+24,,0.6480679781420766,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11095215-7639128,young_stellar_objects,,1.9896782943387978e+29,2.7176221081573393e-07,5.407193720815903e+22,,0.1000607650273224,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11095336-7728365,young_stellar_objects,,1.5732340001748638e+29,7.348160022230634e-07,1.1560375185698917e+23,,0.0791178142076503,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11095340-7634255,young_stellar_objects,,1.598683373707104e+30,0.0004357219823088765,6.965814886759017e+26,,0.803976612021858,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11095407-7629253,young_stellar_objects,,1.258587200139891e+30,4.19844645195225e-06,5.284110964899842e+24,,0.6329425136612024,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11095873-7737088,young_stellar_objects,,1.1359674913027324e+30,0.00036949283909723594,4.1973185348361126e+26,,0.5712771584699454,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11100369-7633291,young_stellar_objects,,1.4945723001661204e+30,1.4403067637406315e-06,2.1526425928286564e+24,,0.7516192349726777,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11100469-7635452,young_stellar_objects,,1.6542092795956286e+30,8.797949733850317e-07,1.4553650091151085e+24,,0.8319005464480875,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11100704-7629376,young_stellar_objects,,1.5801747384109293e+30,7.839111008522431e-06,1.238716518726617e+25,,0.7946686338797816,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11100785-7727480,young_stellar_objects,,2.1053572649398904e+29,1.4779036639964328e-07,3.1115152158761727e+22,,0.1058782513661202,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11101141-7635292,young_stellar_objects,,1.9619153413945355e+30,9.77893739778543e-07,1.918544730325199e+24,,0.9866456830601094,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11103801-7732399,young_stellar_objects,,2.2927571973136614e+30,2.707783039549066e-05,6.2082890526899835e+25,,1.153025792349727,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11104141-7720480,young_stellar_objects,,1.642641382535518e+29,2.867009747069954e-06,4.709468854669795e+23,,0.0826083060109289,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11104959-7717517,young_stellar_objects,,8.861009148043717e+29,9.025863144126171e-05,7.997825588909262e+25,,0.4456194535519126,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11105333-7634319,young_stellar_objects,,6.732516088983607e+29,6.09248584962356e-05,4.101775900449558e+25,,0.3385777049180328,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11105359-7725004,young_stellar_objects,,2.382986794382512e+29,6.852519711069701e-07,1.6329463979724964e+23,,0.1198402185792349,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11113965-7620152,young_stellar_objects,,5.737676941814208e+29,0.00014596066633599725,8.374751496478887e+25,,0.2885473224043716,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11114632-7620092,young_stellar_objects,,3.23669759741858e+30,3.110783621245853e-05,1.0068665872975522e+26,,1.627732677595629,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11120351-7726009,young_stellar_objects,,2.7994310885464478e+29,8.828809535111562e-07,2.4715643887446616e+23,,0.1407831693989071,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11122441-7637064,young_stellar_objects,,2.857270573846995e+30,3.213812684754979e-05,9.182732414006609e+25,,1.4369191256830605,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11123092-7644241,young_stellar_objects,,1.33262174132459e+30,6.141366769597913e-05,8.184118878614544e+25,,0.6701744262295082,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11124861-7647066,young_stellar_objects,,3.609183882754099e+29,1.3352510243037714e-06,4.8191664763480734e+23,,0.1815055737704918,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11132446-7629227,young_stellar_objects,,4.3495292946010925e+29,1.1079742542095128e-06,4.8191664763480734e+23,,0.2187374863387978,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11142454-7733062,young_stellar_objects,,3.7248628533551906e+29,5.647570254115854e-06,2.1036424651269878e+24,,0.1873230601092896,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11173700-7704381,young_stellar_objects,,1.2030612942513664e+30,3.0386744522147645e-05,3.6557116192900567e+25,,0.6050185792349728,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11175211-7629392,young_stellar_objects,,3.470369118032786e+29,4.4936191234842926e-08,1.5594517034341446e+22,,0.1745245901639344,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11241186-7630425,young_stellar_objects,,1.7814561472568298e+29,3.5661268965017627e-07,6.3528986816709856e+22,,0.0895892896174863,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
2325+8205,cataclysmic_variables,,1.4913525e+30,0.04429436074781522,6.60585056371561e+28,105000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,1.3919290000000002e+29,0.02315036276018217,0.06979153479172566,,Vidal (2020) compact-object tables
AB Dra,cataclysmic_variables,,1.590776e+30,0.04350339002017566,6.920414876273496e+28,110000000000000.0,0.8,8243621.176203499,0.007,nuclear,computed_from_mdot,3.181552e+29,0.026365690921318585,0.06920993866846126,,Vidal (2020) compact-object tables
AH Her,cataclysmic_variables,,1.8890465e+30,0.05661685208367359,1.0695186626968129e+29,170000000000000.0,0.95,7784669.037536037,0.007,nuclear,computed_from_mdot,1.98847e+29,0.045198327293689,0.07072208858894867,,Vidal (2020) compact-object tables
AM Cas,cataclysmic_variables,,1.0936585000000001e+30,0.05464888663691487,5.976721938599837e+28,95000000000000.0,0.55,9340292.110797748,0.007,nuclear,computed_from_mdot,2.187317e+29,0.03355633389986,0.08628771574249716,,Vidal (2020) compact-object tables
AQ Eri,cataclysmic_variables,,1.2925055e+30,0.006814517038125418,8.807800751620812e+27,14000000000000.0,0.65,8834396.822789857,0.007,nuclear,computed_from_mdot,2.5850110000000002e+29,0.0036506341275671884,0.011560341403962763,,Vidal (2020) compact-object tables
AR And,cataclysmic_variables,,1.4913525e+30,0.04218510547410973,6.291286251157723e+28,100000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.024607978193230674,0.06855079639542833,,Vidal (2020) compact-object tables
AT Ara,cataclysmic_variables,,1.0538891e+30,0.9551344635647485,1.0066058001852356e+30,1600000000000000.0,0.53,9456332.449434299,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.5194434629274705,1.7036292595313542,,Vidal (2020) compact-object tables
AT Cnc,cataclysmic_variables,,1.4913525e+30,0.08437021094821946,1.2582572502315446e+29,200000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.024607978193230674,0.17401356008070262,,Vidal (2020) compact-object tables
AY Lyr,cataclysmic_variables,,1.4913525e+30,0.016874042189643893,2.516514500463089e+28,40000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.010546276368527433,0.02636569092131858,,Vidal (2020) compact-object tables
BD Pav,cataclysmic_variables,,2.2867404999999997e+30,0.00192584177164414,4.403900375810406e+27,7000000000000.0,1.15,7304358.411165932,0.007,nuclear,computed_from_mdot,1.3919290000000002e+29,0.0015560079887991297,0.0023436169707838745,,Vidal (2020) compact-object tables
BF Ara,cataclysmic_variables,,1.3322749000000001e+30,0.03541659974505481,4.718464688368292e+28,75000000000000.0,0.67,8745602.905229848,0.007,nuclear,computed_from_mdot,2.5850110000000002e+29,0.007909707276395573,0.0761675515504759,,Vidal (2020) compact-object tables
BF Eri,cataclysmic_variables,,2.5452416e+30,0.003954853638197787,1.0066058001852358e+28,16000000000000.0,1.2800000000000002,7048196.962411322,0.007,nuclear,computed_from_mdot,9.94235e+28,0.0035682889968701834,0.0043728462991455205,,Vidal (2020) compact-object tables
BI Ori,cataclysmic_variables,,1.4913525e+30,0.021092552737054866,3.1456431255788614e+28,50000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.007030850912351621,0.04218510547410973,,Vidal (2020) compact-object tables
BV Cen,cataclysmic_variables,,2.4657028e+30,0.03444549942946459,8.493236439062925e+28,135000000000000.0,1.24,7123183.409239905,0.007,nuclear,computed_from_mdot,4.374634e+29,0.021670430894234444,0.052731381842637155,,Vidal (2020) compact-object tables
BV Pup,cataclysmic_variables,,1.4913525e+30,0.07382393457969204,1.1009750939526016e+29,175000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.03163882910558229,0.13710159279085665,,Vidal (2020) compact-object tables
BX Pup,cataclysmic_variables,,1.4913525e+30,0.03796659492669876,5.662157626041951e+28,90000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.010546276368527431,0.07909707276395575,,Vidal (2020) compact-object tables
BZ UMa,cataclysmic_variables,,1.5112372e+30,0.0014986813786854775,2.2648630504167804e+27,3600000000000.0,0.76,8385780.512442379,0.007,nuclear,computed_from_mdot,2.982705e+29,0.000834430657729643,0.002489612782078607,,Vidal (2020) compact-object tables
CH UMa,cataclysmic_variables,,2.5054722e+30,0.002511018182982722,6.291286251157723e+27,10000000000000.0,1.26,7085293.419179054,0.007,nuclear,computed_from_mdot,3.579246e+29,0.0017577127280879058,0.003515425456175811,,Vidal (2020) compact-object tables
CN Ori,cataclysmic_variables,,1.4714678e+30,0.42755174467003104,6.291286251157723e+29,1000000000000000.0,0.74,8460657.514660807,0.007,nuclear,computed_from_mdot,1.98847e+29,0.18832636372370418,0.7415350571620851,,Vidal (2020) compact-object tables
CW Mon,cataclysmic_variables,,1.4913525e+30,0.016874042189643893,2.516514500463089e+28,40000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.007030850912351621,0.0316388291055823,,Vidal (2020) compact-object tables
CY Lyr,cataclysmic_variables,,1.4913525e+30,0.07171467930598655,1.0695186626968129e+29,170000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.03515425456175811,0.1265553164223292,,Vidal (2020) compact-object tables
CY UMa,cataclysmic_variables,,1.3720443e+30,0.00481460442911035,6.605850563715609e+27,10500000000000.0,0.69,8660274.50875726,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.0026683349848081453,0.008053520135966403,,Vidal (2020) compact-object tables
CZ Ori,cataclysmic_variables,,1.0936585000000001e+30,0.13230783080516234,1.4469958377662764e+29,230000000000000.0,0.55,9340292.110797748,0.007,nuclear,computed_from_mdot,2.187317e+29,0.08149395375680288,0.20852864637770152,,Vidal (2020) compact-object tables
DI UMa,cataclysmic_variables,,1.4913525e+30,0.00928072320430414,1.3840829752546991e+28,22000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.002812340364940649,0.01898329746334938,,Vidal (2020) compact-object tables
DO Dra,cataclysmic_variables,,1.6504300999999998e+30,0.0008005004954424437,1.3211701127431218e+27,2100000000000.0,0.83,8143079.180132048,0.007,nuclear,computed_from_mdot,1.98847e+29,0.0006123644343015929,0.0010401806829232535,,Vidal (2020) compact-object tables
DX And,cataclysmic_variables,,1.4913525e+30,0.05484063711634265,8.17867212650504e+28,130000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,1.3919290000000002e+29,0.034725544140273255,0.07909707276395574,,Vidal (2020) compact-object tables
EI Psc,cataclysmic_variables,,1.2925055e+30,0.00024337560850447922,3.145643125578862e+26,500000000000.0,0.65,8834396.822789857,0.007,nuclear,computed_from_mdot,2.187317e+29,0.00016652015318727528,0.00035154254561758105,,Vidal (2020) compact-object tables
EM Cyg,cataclysmic_variables,,1.98847e+30,0.3322077056086141,6.605850563715609e+29,1050000000000000.0,1.0,7652700.0,0.007,nuclear,computed_from_mdot,1.1930819999999999e+29,0.14923975993199196,0.5385332613716135,,Vidal (2020) compact-object tables
ER UMa,cataclysmic_variables,,1.4515831e+30,0.03900677560962201,5.662157626041951e+28,90000000000000.0,0.73,8499115.577348888,0.007,nuclear,computed_from_mdot,3.181552e+29,0.021329547711628517,0.0666080612749101,,Vidal (2020) compact-object tables
ES Dra,cataclysmic_variables,,1.1533126e+30,0.027274852677226118,3.1456431255788614e+28,50000000000000.0,0.58,9176393.402510395,0.007,nuclear,computed_from_mdot,2.3861639999999997e+29,0.0090396654587378,0.055024050618403986,,Vidal (2020) compact-object tables
EY Cyg,cataclysmic_variables,,2.1873170000000002e+30,0.004745824365837344,1.0380622314410243e+28,16500000000000.0,1.1,7413394.76118531,0.007,nuclear,computed_from_mdot,1.789623e+29,0.003988087702384323,0.005638603206935458,,Vidal (2020) compact-object tables
EZ Lyn,cataclysmic_variables,,1.4913525e+30,0.00010546276368527433,1.572821562789431e+26,250000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,4.218510547410973e-05,0.00020037925100202124,,Vidal (2020) compact-object tables
FH Lyn,cataclysmic_variables,,1.4913525e+30,0.00464036160215207,6.920414876273496e+27,11000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,1.789623e+29,0.0011299581823422248,0.009108147772819148,,Vidal (2020) compact-object tables
FO And,cataclysmic_variables,,1.4913525e+30,0.013921084806456211,2.0761244628820486e+28,33000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.00667930836673404,0.024783749466039468,,Vidal (2020) compact-object tables
FO Aql,cataclysmic_variables,,1.0936585000000001e+30,0.02301005753133258,2.516514500463089e+28,40000000000000.0,0.55,9340292.110797748,0.007,nuclear,computed_from_mdot,2.187317e+29,0.014381285957082861,0.035953214892707155,,Vidal (2020) compact-object tables
FO Per,cataclysmic_variables,,7.95388e+29,0.28474946195024065,2.2648630504167802e+29,360000000000000.0,0.4,10386311.84725792,0.007,nuclear,computed_from_mdot,1.590776e+29,0.17137699098857076,0.45480816839274546,,Vidal (2020) compact-object tables
FS Aur,cataclysmic_variables,,1.0936585000000001e+30,0.012655531642232919,1.3840829752546991e+28,22000000000000.0,0.55,9340292.110797748,0.007,nuclear,computed_from_mdot,2.187317e+29,0.00767001917711086,0.020133800339916005,,Vidal (2020) compact-object tables
FT Cam,cataclysmic_variables,,1.4913525e+30,5.273138184263717e-05,7.864107813947154e+25,125000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,3.1638829105582296e-05,8.437021094821947e-05,,Vidal (2020) compact-object tables
GD 552,cataclysmic_variables,,1.5311219e+30,2.876257191416572e-05,4.403900375810406e+25,70000000000.0,0.77,8349320.13667669,0.007,nuclear,computed_from_mdot,2.982705e+29,1.3756012654600997e-05,5.103036952513273e-05,,Vidal (2020) compact-object tables
GY Cnc,cataclysmic_variables,,1.9685853e+30,0.004154593720935049,8.17867212650504e+27,13000000000000.0,0.99,7678380.393807681,0.007,nuclear,computed_from_mdot,2.3861639999999997e+29,0.003135379460913561,0.005454970535445224,,Vidal (2020) compact-object tables
HL CMa,cataclysmic_variables,,1.6504300999999998e+30,0.06670837462020365,1.1009750939526016e+29,175000000000000.0,0.83,8143079.180132048,0.007,nuclear,computed_from_mdot,1.98847e+29,0.04422632025511505,0.0953498959346316,,Vidal (2020) compact-object tables
HM Leo,cataclysmic_variables,,1.4913525e+30,0.0012022755060121274,1.7930165815799512e+27,2850000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.00042185105474109723,0.002372912182918673,,Vidal (2020) compact-object tables
HS Vir,cataclysmic_variables,,1.3521596e+30,0.0013493030059733627,1.8244730128357398e+27,2900000000000.0,0.68,8702520.41881313,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.0008488466345400128,0.0021092552737054866,,Vidal (2020) compact-object tables
HW Boo,cataclysmic_variables,,1.4913525e+30,0.00048512871295226193,7.234979188831382e+26,1150000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.00017577127280879055,0.0009491648731674691,,Vidal (2020) compact-object tables
HX Peg,cataclysmic_variables,,1.4913525e+30,0.0632776582111646,9.436929376736585e+28,150000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.03866968001793392,0.10018962550101061,,Vidal (2020) compact-object tables
IR Gem,cataclysmic_variables,,1.3720443e+30,0.00343900316365025,4.7184646883682925e+27,7500000000000.0,0.69,8660274.50875726,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.002287144272692696,0.005177262944549831,,Vidal (2020) compact-object tables
IX Dra,cataclysmic_variables,,2.783858e+30,0.0024859080011528953,6.920414876273496e+27,11000000000000.0,1.4,6840775.583033503,0.007,nuclear,computed_from_mdot,5.567716000000001e+29,0.0007533054548948167,0.0050848118205400125,,Vidal (2020) compact-object tables
KS UMa,cataclysmic_variables,,1.8691618e+30,0.0007573123988038315,1.4155394065104876e+27,2250000000000.0,0.94,7812176.930555151,0.007,nuclear,computed_from_mdot,3.778093e+29,0.00047598238477424687,0.0011811829532750724,,Vidal (2020) compact-object tables
KT Per,cataclysmic_variables,,1.4913525e+30,0.040075850200404245,5.976721938599837e+28,95000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.017577127280879054,0.07382393457969202,,Vidal (2020) compact-object tables
KV Dra,cataclysmic_variables,,1.4118136999999998e+30,0.0013368519340386889,1.887385875347317e+27,3000000000000.0,0.7099999999999999,8578181.657944106,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.000744443037778407,0.0022202687091636706,,Vidal (2020) compact-object tables
LL Lyr,cataclysmic_variables,,1.4913525e+30,0.03796659492669876,5.662157626041951e+28,90000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.010546276368527431,0.07909707276395575,,Vidal (2020) compact-object tables
LX And,cataclysmic_variables,,1.4913525e+30,0.03585733965299327,5.3475933134840645e+28,85000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.010546276368527433,0.07382393457969202,,Vidal (2020) compact-object tables
NY Ser,cataclysmic_variables,,1.6106607e+30,0.013085194753543295,2.107580894137837e+28,33500000000000.0,0.81,8209556.237301669,0.007,nuclear,computed_from_mdot,3.181552e+29,0.0042402554471398955,0.02628456571848375,,Vidal (2020) compact-object tables
OU Vir,cataclysmic_variables,,1.391929e+30,0.00632776582111646,8.807800751620812e+27,14000000000000.0,0.7,8618837.154670784,0.007,nuclear,computed_from_mdot,1.98847e+28,0.0031193211794236075,0.0096292088582207,,Vidal (2020) compact-object tables
PU CMa,cataclysmic_variables,,9.146962e+29,0.0016851115501886223,1.5413651315336422e+27,2450000000000.0,0.46,9913539.574595995,0.007,nuclear,computed_from_mdot,1.789623e+29,0.0010929777327382975,0.002565310468020186,,Vidal (2020) compact-object tables
PY Per,cataclysmic_variables,,1.4913525e+30,0.005273138184263716,7.864107813947154e+27,12500000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.0017577127280879053,0.010546276368527433,,Vidal (2020) compact-object tables
QW Ser,cataclysmic_variables,,1.6901995e+30,0.009863870250563893,1.6671908565567967e+28,26500000000000.0,0.85,8078704.320050045,0.007,nuclear,computed_from_mdot,3.380399e+29,0.004342584387040708,0.01814579904584867,,Vidal (2020) compact-object tables
QZ Ser,cataclysmic_variables,,1.4913525e+30,0.002531106328446584,3.774771750694634e+27,6000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.0007030850912351622,0.005273138184263717,,Vidal (2020) compact-object tables
QZ Vir,cataclysmic_variables,,1.4118136999999998e+30,0.02450895212404263,3.460207438136748e+28,55000000000000.0,0.7099999999999999,8578181.657944106,0.007,nuclear,computed_from_mdot,3.97694e+28,0.004334086178846891,0.04585337551533668,,Vidal (2020) compact-object tables
RU LMi,cataclysmic_variables,,1.4913525e+30,0.008437021094821947,1.2582572502315446e+28,20000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.0024607978193230675,0.017401356008070263,,Vidal (2020) compact-object tables
RU Peg,cataclysmic_variables,,2.1077782e+30,0.035817542383678076,7.549543501389268e+28,120000000000000.0,1.06,7505496.038996514,0.007,nuclear,computed_from_mdot,7.95388e+28,0.02876257191416573,0.043425843870407065,,Vidal (2020) compact-object tables
RX And,cataclysmic_variables,,2.2668557999999998e+30,0.01803968326195482,4.08933606325252e+28,65000000000000.0,1.14,7325654.0372360125,0.007,nuclear,computed_from_mdot,6.561951e+29,0.008609205198797907,0.0351542545617581,,Vidal (2020) compact-object tables
RY Ser,cataclysmic_variables,,1.4913525e+30,0.021092552737054866,3.1456431255788614e+28,50000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,1.789623e+29,0.007533054548948166,0.038350095885554304,,Vidal (2020) compact-object tables
RZ LMi,cataclysmic_variables,,1.98847e+30,0.006485959966644372,1.2897136814873333e+28,20500000000000.0,1.0,7652700.0,0.007,nuclear,computed_from_mdot,3.97694e+29,0.0039548536381977875,0.010282619459314246,,Vidal (2020) compact-object tables
SS Aur,cataclysmic_variables,,2.1475476e+30,0.01464760606739921,3.1456431255788614e+28,50000000000000.0,1.08,7458876.848407199,0.007,nuclear,computed_from_mdot,7.95388e+29,0.006413276170050464,0.0325693829028053,,Vidal (2020) compact-object tables
SS Cyg,cataclysmic_variables,,1.6106607e+30,0.08593262226207538,1.3840829752546992e+29,220000000000000.0,0.81,8209556.237301669,0.007,nuclear,computed_from_mdot,3.778093e+29,0.05378600947948991,0.1377819977178584,,Vidal (2020) compact-object tables
SS UMi,cataclysmic_variables,,1.3123902e+30,0.005752514382833146,7.549543501389268e+27,12000000000000.0,0.66,8789551.396533914,0.007,nuclear,computed_from_mdot,2.5850110000000002e+29,0.0036044235689903885,0.008954385595919519,,Vidal (2020) compact-object tables
ST Cha,cataclysmic_variables,,1.4913525e+30,0.29529573831876815,4.4039003758104064e+29,700000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.07030850912351622,0.632776582111646,,Vidal (2020) compact-object tables
SU UMa,cataclysmic_variables,,1.3521596e+30,0.013260391610427873,1.793016581579951e+28,28500000000000.0,0.68,8702520.41881313,0.007,nuclear,computed_from_mdot,3.181552e+29,0.007533054548948165,0.02251224378666432,,Vidal (2020) compact-object tables
